book_freq,isNoble,popularity,has_title,has_culture,has_mother,has_father,has_heir,has_house,survival_prob,relevance_score,relevance_category
0.2,0,0.016722408,0,1,0,0,0,1,0.996,0.303580602,Medium
0.2,0,0.013377926,0,1,0,0,0,0,0.767,0.21839448150000002,Low
0.4,0,0.02006689,0,1,0,0,0,1,0.20299999999999996,0.2354667225,Low
0.0,0,0.040133779,0,1,0,0,0,0,0.477,0.13158344475,Low
0.2,0,0.073578595,0,1,0,0,0,1,0.71,0.27489464874999997,Medium
0.0,1,0.050167224,1,0,0,0,0,0,0.0020000000000000018,0.21284180600000002,Low
0.4,0,0.023411371,1,0,0,0,0,1,0.07499999999999996,0.26710284275,Medium
0.2,1,0.013377926,1,0,0,0,0,0,0.997,0.40289448149999996,Medium
0.2,0,0.016722408,0,1,0,0,0,1,0.758,0.26788060199999997,Medium
0.2,0,0.010033445,0,1,0,0,0,0,0.988,0.25070836125,Medium
0.2,0,0.046822742,0,1,0,0,0,1,0.718,0.2694056855,Medium
0.2,0,0.0,0,0,0,0,0,0,0.773,0.16595,Low
0.4,1,0.123745819,1,0,0,0,0,1,0.954,0.52403645475,High
0.6,0,0.086956522,0,0,0,0,0,1,0.823,0.3451891305,Medium
0.6,0,0.10367893,0,0,0,0,0,1,0.747,0.33796973249999995,Medium
0.0,0,0.0,0,0,0,0,0,1,0.8049999999999999,0.17074999999999999,Low
0.0,0,0.0,0,0,0,0,0,1,0.773,0.16595,Low
0.0,0,0.0,0,0,0,0,0,1,0.8089999999999999,0.17135,Low
0.2,0,0.026755853,0,0,0,0,0,1,0.20099999999999996,0.13683896325,Low
0.0,0,0.0,0,0,0,0,0,1,0.784,0.1676,Low
0.0,0,0.0,0,0,0,0,0,1,0.683,0.15245,Low
0.0,0,0.0,0,1,0,0,0,1,0.8240000000000001,0.22360000000000002,Low
0.0,0,0.0,0,0,0,0,0,1,0.813,0.17195,Low
0.2,0,0.02006689,0,0,0,0,0,1,0.532,0.18481672249999997,Low
0.8,0,0.046822742,0,1,0,0,0,1,0.916,0.44910568549999996,Medium
0.2,1,0.023411371,1,1,0,0,0,0,0.385,0.36360284275000004,Medium
0.0,0,0.006688963,0,0,0,0,0,1,0.76,0.16567224074999998,Low
0.4,0,0.053511706,0,0,0,0,0,1,0.906,0.2992779265,Medium
0.2,0,0.003344482,0,0,0,0,0,0,0.988,0.1990361205,Low
0.2,0,0.006688963,0,0,0,0,0,0,0.99,0.20017224075,Low
0.0,0,0.003344482,0,0,0,0,0,1,0.8089999999999999,0.17218612049999998,Low
0.0,0,0.006688963,0,0,0,0,0,1,0.796,0.17107224075,Low
0.0,0,0.0,0,0,0,0,0,1,0.945,0.19174999999999998,Low
0.2,0,0.016722408,0,0,0,0,0,1,0.702,0.20948060200000002,Low
0.2,0,0.010033445,0,1,0,0,0,1,0.758,0.26620836124999997,Medium
0.2,0,0.016722408,0,0,0,0,0,0,0.724,0.162780602,Low
0.0,1,0.013377926,1,0,0,0,0,1,0.813,0.3752944815,Medium
0.2,0,0.010033445,0,1,0,0,0,0,0.767,0.21755836125,Low
0.2,0,0.006688963,0,1,0,0,0,1,0.8220000000000001,0.27497224075,Medium
0.8,0,0.096989967,0,0,0,0,0,1,0.47,0.34474749174999997,Medium
1.0,0,0.200668896,1,1,0,0,0,1,0.788,0.6183672240000001,High
0.2,0,0.043478261,0,0,0,0,0,1,0.385,0.16861956525,Low
1.0,0,0.08361204,0,1,0,0,0,0,0.651,0.41855301,Medium
0.4,0,0.036789298,0,1,0,0,0,1,0.020000000000000018,0.2121973245,Low
1.0,1,0.113712375,1,0,0,0,0,1,0.692,0.63222809375,High
1.0,0,0.969899666,0,1,0,0,0,1,0.31299999999999994,0.6394249165000001,High
0.0,1,0.0,1,0,0,0,0,1,0.741,0.36115,Medium
0.0,1,0.026755853,1,0,0,0,0,1,0.19399999999999995,0.28578896325,Medium
0.0,1,0.006688963,1,0,0,0,0,0,0.813,0.32362224075,Medium
0.0,0,0.036789298,0,0,0,0,0,1,0.18700000000000006,0.08724732450000001,Low
0.0,0,0.0,0,0,0,0,0,1,0.759,0.16385,Low
0.0,0,0.0,0,0,0,0,0,1,0.767,0.16505,Low
0.0,0,1.0,0,0,1,1,1,0,0.10999999999999999,0.3165,Medium
0.0,0,0.759197324,0,0,1,1,1,0,0.031000000000000028,0.24444933100000002,Low
0.0,0,0.675585284,0,0,0,0,1,0,0.06399999999999995,0.19516298766666665,Low
0.0,1,0.0,1,1,0,0,0,1,0.05300000000000005,0.30795,Medium
0.0,0,0.62541806,0,1,1,1,1,0,0.0030000000000000027,0.256804515,Medium
0.0,1,0.0,1,1,0,0,0,1,0.0010000000000000009,0.30015,Medium
0.0,1,0.0,1,1,0,0,0,1,0.05700000000000005,0.30855,Medium
0.0,0,0.0,0,1,0,0,0,1,0.0030000000000000027,0.10045000000000001,Low
0.2,0,0.010033445,0,0,0,0,0,1,0.62,0.19550836124999998,Low
0.0,0,0.571906355,0,0,1,1,1,0,0.031000000000000028,0.19762658875000003,Low
0.2,0,0.010033445,0,0,0,0,0,1,0.76,0.21650836125,Low
0.2,1,0.013377926,1,0,0,0,0,0,0.719,0.3611944815,Medium
0.4,0,0.026755853,0,0,0,0,0,1,0.051000000000000045,0.16433896325000003,Low
0.2,1,0.006688963,1,0,0,0,0,0,0.998,0.40137224075,Medium
0.0,0,0.622073579,0,0,1,1,1,0,0.06999999999999995,0.21601839475,Low
0.4,0,0.016722408,0,0,0,0,0,0,0.988,0.252380602,Medium
0.0,0,1.0,0,0,1,1,1,0,0.10999999999999999,0.3165,Medium
0.2,0,0.030100334,0,1,0,0,0,1,0.28200000000000003,0.1998250835,Low
0.0,0,0.013377926,0,1,0,0,0,1,0.975,0.24959448149999997,Low
0.2,0,0.016722408,0,0,0,0,0,1,0.948,0.246380602,Low
0.0,0,0.0,0,0,0,0,0,0,0.746,0.1119,Low
0.2,0,0.006688963,0,0,0,0,0,0,0.767,0.16672224075,Low
0.2,0,0.02006689,0,1,0,0,0,0,0.981,0.2521667225,Medium
0.2,0,0.023411371,0,0,0,0,0,1,0.726,0.21475284275,Low
0.0,1,0.267558528,1,0,0,0,0,1,0.031000000000000028,0.32153963199999996,Medium
0.4,0,0.006688963,0,0,0,0,0,0,0.987,0.24972224075,Low
0.2,0,0.010033445,0,1,0,0,0,1,0.964,0.29710836124999995,Medium
0.2,1,0.013377926,1,0,0,0,0,1,0.947,0.4453944815,Medium
0.2,0,0.080267559,0,0,0,0,0,1,0.737,0.23061688975,Low
0.2,0,0.033444816,0,0,0,0,0,1,0.262,0.147661204,Low
0.4,1,0.160535117,1,1,0,0,0,1,0.08499999999999996,0.45288377925,Medium
0.0,0,0.026755853,0,0,0,0,0,1,0.19999999999999996,0.08668896325,Low
0.2,0,0.006688963,0,0,0,0,0,1,0.755,0.21492224075,Low
0.2,0,0.056856187,0,0,0,0,0,1,0.758,0.22791404675,Low
